Date,JPM,BAC,WFC,C
7/1/2012,36,7.34,33.810001,27.129999
8/1/2012,37.139999,7.99,34.029999,29.709999
9/1/2012,40.48,8.83,34.529999,32.720001
10/1/2012,41.68,9.32,33.689999,37.389999
11/1/2012,41.080002,9.86,33.009998,34.57
12/1/2012,43.970001,11.61,34.18,39.560001
1/1/2013,47.049999,11.32,34.830002,42.16
2/1/2013,48.919998,11.23,35.080002,41.970001
3/1/2013,47.459999,12.18,36.990002,44.240002
4/1/2013,49.009998,12.31,37.98,46.66
5/1/2013,54.59,13.66,40.549999,51.990002
6/1/2013,52.790001,12.86,41.27,47.970001
7/1/2013,55.73,14.6,43.5,52.139999
8/1/2013,50.529999,14.12,41.080002,48.330002
9/1/2013,51.689999,13.8,41.32,48.509998
10/1/2013,51.540001,13.97,42.689999,48.779999
11/1/2013,57.220001,15.82,44.02,52.919998
12/1/2013,58.48,15.57,45.400002,52.110001
1/1/2014,55.360001,16.75,45.34,47.43
2/1/2014,56.82,16.530001,46.419998,48.630001
3/1/2014,60.709999,17.200001,49.740002,47.599998
4/1/2014,55.98,15.14,49.639999,47.91
5/1/2014,55.57,15.14,50.779999,47.57
6/1/2014,57.619999,15.37,52.560001,47.099998
7/1/2014,57.669998,15.25,50.900002,48.91
8/1/2014,59.450001,16.09,51.439999,51.650002
9/1/2014,60.240002,17.049999,51.869999,51.82
10/1/2014,60.48,17.16,53.09,53.529999
11/1/2014,60.16,17.040001,54.48,53.970001
12/1/2014,62.580002,17.889999,54.82,54.110001
1/1/2015,54.380001,15.15,51.919998,46.950001
2/1/2015,61.279999,15.81,54.790001,52.419998
3/1/2015,60.580002,15.39,54.400002,51.52
4/1/2015,63.259998,15.93,55.099998,53.32
5/1/2015,65.779999,16.5,55.959999,54.080002
6/1/2015,67.760002,17.02,56.240002,55.240002
7/1/2015,68.529999,17.879999,57.869999,58.459999
8/1/2015,64.099998,16.34,53.330002,53.48
9/1/2015,60.970001,15.58,51.349998,49.610001
10/1/2015,64.25,16.780001,54.139999,53.169998
11/1/2015,66.68,17.43,55.099998,54.09
12/1/2015,66.029999,16.83,54.360001,51.75
1/1/2016,59.5,14.14,50.23,42.580002
2/1/2016,56.299999,12.52,46.919998,38.849998
3/1/2016,59.220001,13.52,48.360001,41.75
4/1/2016,63.200001,14.56,49.98,46.279999
5/1/2016,65.269997,14.79,50.720001,46.57
6/1/2016,62.139999,13.27,47.330002,42.389999
7/1/2016,63.970001,14.49,47.970001,43.810001
8/1/2016,67.5,16.139999,50.799999,47.740002
9/1/2016,66.589996,15.65,44.279999,47.23
10/1/2016,69.260002,16.5,46.009998,49.150002
11/1/2016,80.169998,21.120001,52.919998,56.389999
12/1/2016,86.290001,22.1,55.110001,59.43
1/1/2017,84.629997,22.639999,56.330002,55.830002
2/1/2017,90.620003,24.68,57.880001,59.810001
3/1/2017,87.839996,23.59,55.66,59.82
4/1/2017,87,23.34,53.84,59.119999
5/1/2017,82.150002,22.41,51.139999,60.540001
6/1/2017,91.400002,24.26,55.41,66.879997
7/1/2017,91.800003,24.120001,53.939999,68.449997
