Date,BRK-A,WMT,PG,HD,COST,HON
1/1/1997,34800,11.875,28.90625,11,13.3125,33.546692
2/1/1997,35500,13.1875,30.03125,12.138889,12.8125,34.440475
3/1/1997,36200,13.9375,28.6875,11.888889,13.8125,33.963791
4/1/1997,38000,14.0625,31.4375,12.888889,14.4375,34.440475
5/1/1997,43000,14.9375,34.46875,14.027778,16.875,36.585556
6/1/1997,47200,16.90625,35.3125,15.333333,16.4375,40.041519
7/1/1997,47200,18.75,38.03125,16.604168,18.9375,43.974171
8/1/1997,41500,17.75,33.28125,15.729167,18.03125,39.356285
9/1/1997,44800,18.3125,34.53125,17.375,18.8125,40.518204
10/1/1997,43700,17.5,34,18.583332,19.25,34.321304
11/1/1997,45300,20.03125,38.09375,18.6875,22.15625,35.393845
12/1/1997,46000,19.71875,39.90625,19.625,22.3125,37.002655
1/1/1998,50300,19.90625,39.1875,20.166668,21.6875,37.121826
2/1/1998,55800,23.15625,42.4375,21.291668,24.4375,40.577789
3/1/1998,67200,25.40625,42.1875,22.541668,26.6875,40.041519
4/1/1998,68600,25.28125,41.09375,23.229168,27.9375,41.769501
5/1/1998,70700,27.5625,41.9375,26.1875,28.9375,40.756546
6/1/1998,78305,30.375,45.53125,27.6875,31.53125,42.305775
7/1/1998,70105,31.5625,39.6875,27.916668,28.375,41.471573
8/1/1998,60500,29.5,38.25,25.416668,23.53125,32.712494
9/1/1998,59600,27.3125,35.5625,26.333332,23.6875,33.725449
10/1/1998,64500,34.53125,44.34375,29.041668,28.375,37.121826
11/1/1998,67900,37.65625,43.8125,33.166668,31.375,41.948257
12/1/1998,70000,40.71875,45.65625,40.791668,36.09375,42.246185
1/1/1999,65000,43,45.4375,40.333332,41.4375,37.181412
2/1/1999,71100,43.0625,44.75,39.791668,40.15625,39.445663
3/1/1999,71400,46.09375,48.96875,41.5,45.78125,46.893864
4/1/1999,76400,46,46.90625,39.833332,40.46875,56.01046
5/1/1999,72000,42.625,46.6875,37.708332,36.25,55.355019
6/1/1999,68900,48.25,44.0625,42.958332,40.03125,60.062279
7/1/1999,67805,42.25,45.28125,42.541668,37.375,61.671089
8/1/1999,64200,44.3125,49.625,41,37.375,58.572639
9/1/1999,55000,47.5625,46.875,45.75,36,57.142586
10/1/1999,63900,56.3125,52.4375,50.5,40.15625,54.282478
11/1/1999,57300,57.625,54,52.791668,45.84375,57.202171
12/1/1999,56100,69.125,54.78125,68.75,45.625,54.997505
1/1/2000,51200,54.75,50.53125,56.625,48.9375,45.761738
2/1/2000,44000,48.75,43.9375,57.5,49.625,45.880909
3/1/2000,57200,56.5,28.375,64.5,52.5625,50.230656
4/1/2000,59300,55.375,29.875,56.5,54.0625,53.388695
5/1/2000,58600,57.625,33.25,49,31.9375,52.137398
6/1/2000,53800,57.625,28.375,49.9375,33,32.116634
